comparison,p_value,active_features,active_group
IKBKG_vs_MYD88,6.08370229045411e-19,ABHD17A/ACTR3/AFF4/ALAS1/AP3B1/APBB1IP/ARF6/ARGLU1/CCPG1/CD70/CHTOP/CKLF/CLEC11A/DERL1/ETV3/GDF15/GOLGB1/GPX4/HBEGF/HDGF/HES4/HEXB/IL1A/ITGAV/ITGB5/KIF5B/KLF3/KLF5/KPNA4/LMO2/MAFG/MAML2/MANF/MED13L/MED28/METRNL/NCOA7/NFKBIZ/NUDT14/OPTN/OSGIN2/PBX3/PCM1/PFKP/POU2F2/PRKAR2A/PTBP3/PTPN12/SCP2/SEC62/SERTAD2/SLC43A3/SRP19/STARD4/STAT5A/SUMO3/TNS3/TPI1/TRAM1/TYMP/UPP1/VKORC1/YWHAG/ZC3H12A/ZYX,1/2
TAB1_vs_MYD88,1.34052154137791e-13,ANKRD11/CFLAR/CLIC4/COL6A1/CRTAP/EMC10/HDAC9/KCNQ4/MYH9/NBN/PDLIM5/PRDX4/RBBP6/RFLNB/RPS27L/SELENOF/WASF2,3/4
IFNAR1_vs_MYD88,2.18926747276254e-15,ABCF1/AC245297-3/AES/ANXA1/ARID1B/ASS1/ATG12/C3orf80/C4orf48/CD276/CD47/CD83/CELF1/CSNK1A1/EIF4G3/GBP1/GBP2/GPATCH2L/HMGB3/HSPH1/IFNAR1/IKZF1/IRAK2/IRF2BP2/LAT2/LGALS9/MIR155HG/MIR4435-2HG/MRPL15/NCKAP1L/NECTIN2/NMI/NUB1/PAIP1/PLCG2/PLXDC2/PNP/POLR1D/PPIC/PTPRC/PUM1/RAC2/RASSF5/RBM23/RIF1/RNF181/SELENOW/SEPT11/SKAP2/STIP1/STMP1/TNIP1/XBP1/ZFAND3,1/2
TXNDC17_vs_MYD88,0.0326048228844366,"",""
FLI1_vs_MYD88,5.18995222915897e-05,AMPD3/DBNL/GPI/OGA/PDXK/PFKL/PTX3/QSOX1,""
MAPK14_vs_MYD88,1.07153525934761e-17,ALAS1/ANKRD11/ARGLU1/BCL9L/CCPG1/CFLAR/CLIC4/COL6A1/CRTAP/ETV3/GTF2B/HDAC9/HDGF/HES4/KCNQ4/KLF3/KLF5/LMO2/MAFG/MAML2/MED13L/MED28/MYL6/N4BP2L2/NCK2/NCOA7/NFKBIZ/NPTN/NUDT14/PDLIM5/PFKP/POU2F2/PPARD/PRDM1/PRDX4/PTBP3/QKI/RBBP6/RCN1/RFLNB/RGS10/RUNX3/SATB1/SERTAD2/STAT5A/TAOK3/TNFRSF1B/WASF2/ZC3H12A/ZFAND5,2/3/6/7
KIDINS220_vs_MYD88,5.86861623333253e-17,ABHD17A/AP1B1/APBB1IP/CD99/CDC42/CHMP3/CHMP4B/CMPK1/CNIH4/COPB1/DERL1/DNAJB14/DPP7/EIF4A3/ERBIN/ERP29/GDF15/GOLGB1/GPX4/HERC1/HEXB/HGSNAT/IL1A/ITGB5/KPNA4/LAMP1/M6PR/METRNL/MFSD1/NAPRT/NORAD/NUDT14/OPTN/OSGIN2/PDLIM7/PFKP/PLEKHB2/PPP1CB/PPP3CA/PRKAR2A/PSMD1/PTPN12/RAB21/SCARB2/SCP2/SDC4/SELENOK/SLC3A2/SLC43A3/STARD4/SUMO3/TMEM165/TNS3/TPI1/TPRA1/TYMP/UPP1/YWHAG/ZC3H12A/ZYX,1/2/3/4/5/6
MAP2K1_vs_MYD88,4.05206010340503e-09,ARHGAP26/CDC42SE1/CYTH2/DENND4A/EIF5/GRB2/NDFIP1/NUCB1/PSD3/RASGEF1B/TIPRL,1/2
YEATS4_vs_MYD88,4.64031083846724e-07,APBB1IP/ATG12/BCL3/BCL9L/CD99/COPB1/DGAT1/DNAJB14/ERBIN/ITGB5/MLEC/NCK2/NORAD/NPTN/OGT/PPP1CB/PRKAR2A/PTPN12/RAB21/SCARB2/STIP1/TPRA1/YWHAG/ZYX,1/2/3
ATXN7L3_vs_MYD88,1.16344510787984e-18,ABHD17A/AC245297-3/AP3B1/ARID1B/ATG12/ATP13A3/BCL9L/C3orf80/CCT8/CD37/CD47/CDK13/CHMP4B/CTSA/DERL1/DPP7/DUSP2/EGFL7/EIF4G3/EVL/FAM89B/GARS/GNS/GOLGB1/HGSNAT/IFNAR1/LAMP1/LAT2/LRPAP1/M6PR/MARK3/MFSD1/MIR4435-2HG/NAPRT/NCK2/NCKAP1L/NECTIN2/NENF/NMI/NPTN/OGT/OPTN/PAIP2/PEBP1/PLXDC2/PNP/POLR1D/PSMD1/PTEN/PTP4A3/PTPRJ/RAB10/RBM23/RBMS1/RICTOR/RNF181/RNF19A/SLC3A2/SNHG9/SPATS2L/SPI1/STAG2/STIP1/STMP1/SUMO3/TAOK3/THAP2/TMEM165/TNIP1/TRIP10/VCP/VKORC1/XBP1/ZFAND3,1/2/4/5/6/8/9
AHR_vs_MYD88,1.85731214610951e-19,ABL2/ACTR3/ALAS1/APBB1IP/ARGLU1/ATF4/CCPG1/CD99/CMPK1/COPB1/ETV3/FOSL2/FOXP1/GPBP1/GPX4/GTF2B/GTF2I/HDGF/HES4/IER5/IRF8/ITGB5/KLF3/KLF5/LIPA/MAFG/MAML2/MED13L/MED28/NCOA7/NFKBIZ/NUDT14/PBX3/PFKP/POU2F2/PPARD/PRDM1/PRKAR2A/PTBP3/RAP2C/RBM23/RLF/RUNX3/SATB1/SCARB2/SCP2/SERTAD2/STARD4/STAT3/STAT5A/TNS3/TPRA1/YWHAG/ZC3H12A/ZEB2/ZYX,1/2/3
PRDM1_vs_MYD88,1.24782380380599e-13,ACTR3/ADAM10/ADAM17/ALAS1/APBB1IP/ARGLU1/AZIN1/CCPG1/CPM/EIF3F/ETV3/FOSL2/GPSM3/GTF2B/HDGF/HES4/ITGB5/JUN/KLF5/LIPA/LMO2/MAFB/MAFG/MAML2/MED13L/MED28/N4BP2L2/NBN/NCOA7/NFKBIZ/PDLIM7/POU2F2/PPARD/PPP1CB/PRDX5/PRKAR2A/PSMA3/PTP4A1/PTPN12/RPS27L/SATB1/SERTAD2/SPN/STAT5A/STK10/SYF2/TNS3/TPRA1/YWHAG/ZEB2/ZYX,1/2
TNFAIP3_vs_MYD88,3.79689854962996e-18,AC245297-3/ANKRD11/ARGLU1/ARID1B/ATG12/CCPG1/CD47/CFLAR/CHMP4B/CLIC4/CRTAP/EIF4G3/ENG/GNS/GTF2B/HDAC9/HDGF/HES4/KCNQ4/KLF3/KLF5/M6PR/MAFG/MED13L/MED28/MIR4435-2HG/MYL6/NAPRT/NCKAP1L/NECTIN2/NFKBIZ/PLXDC2/POLR1D/POU2F2/PPARD/PRDM1/PRDX4/RBBP6/RBM23/RCN1/RFLNB/SATB1/SELENOF/SERTAD2/STIP1/WASF2/XBP1/ZFAND3/ZFAND5,1/2/3/4/6
JUNB_vs_MYD88,9.25555451138946e-21,ALAS1/ARGLU1/ATF4/ATP5IF1/AZIN1/CCPG1/CDC42SE1/COMMD6/COX17/CYTH2/DAP/DENND4A/EIF5/ETV3/GMFG/GRB2/GTF2B/HDGF/HES4/JUN/KLF5/LIPA/MAFG/MAML2/MED13L/MED28/N4BP2L2/NBN/NCOA7/NDFIP1/NFKBIZ/NUCB1/PIM1/POU2F2/PPARD/PRDX5/PSD3/PSME1/PTBP3/RASGEF1B/RLF/RPS27L/RUNX3/SATB1/SERTAD2/STAT5A/SYF2/TIPRL,3/7
TIRAP_vs_MYD88,1.41735706729734e-13,ALAS1/AMPD3/ARF4/ARGLU1/ATP1B3/CCPG1/CKLF/COMT/ETV3/FOXP1/GDF15/GPI/GTF2B/GTF2I/HBEGF/HDGF/HES4/IL1A/KLF3/KLF5/LMO2/MAFG/MAML2/MANF/MED13L/MED28/METRNL/NCOA7/NUDT14/OGA/OSGIN2/PDXK/PFKP/POU2F2/PPARD/PTBP3/SATB1/SERTAD2/STAT5A/TYMP/UXT/ZC3H12A/ZEB2,1/2
TRIB1_vs_MYD88,6.99409099036805e-17,ANKRD11/BCL9L/CFLAR/CMPK1/CYTH2/DENND4A/EIF5/ERP29/GDF15/GPX4/HDAC9/HEXB/IL1A/KCNQ4/MSRA/NCK2/NDFIP1/NME4/NUCB1/NUDT14/PFKP/PRDX4/QKI/RASGEF1B/RBBP6/RFLNB/STARD4/TIPRL/TYMP/WASF2/ZC3H12A/ZFAND5,3/4/5
PICALM_vs_MYD88,5.45923936552846e-06,ADAM10/AKIRIN1/AMPD3/BAZ1A/CALU/CKLF/COPB1/CPM/EIF3F/GPI/GPSM3/IL1A/METRNL/OGA/PDXK/PTX3/RAB21/SCARB2/STK10/TYMP,4/5/6
EHMT2_vs_MYD88,1.21596460360902e-16,ACTR3/APBB1IP/ARID1B/CD99/CDC42/CHMP3/CHMP4B/CNN2/CTSA/EIF4A3/ERBIN/HERC1/HGSNAT/ITGAV/ITGB5/LAMP1/M6PR/MFSD1/MIR4435-2HG/NAPRT/NECTIN2/NUDT14/PDLIM7/PFKP/PLEKHB2/PLEKHO1/PNP/PPP1CB/PPP3CA/PRKAR2A/PSMD1/PTPN12/RAB10/SLC3A2/STARD4/TMEM165/TNFRSF1B/TNS3/TPI1/TPRA1/XBP1/YWHAG/ZC3H12A/ZYX,1/2/8/9/10
