comparison,p_value,active_features,active_group
IKBKG_vs_MYD88,1.34010532224002e-11,ABCF1/ABL2/ACTR3/ADAM10/ADAM17/AIF1/APBB1IP/ARID1B/CD83/CD99/CPM/EBI3/EIF4G3/ERBIN/HSPH1/IKZF1/ITGAV/ITGB2/ITGB5/NECTIN2/NORAD/PAIP1/PDLIM7/PNP/PPP1CB/PRKAR2A/PTPN12/RASSF5/RBM23/TNS3/TPRA1/XBP1/YWHAG/ZYX,6
TAB1_vs_MYD88,8.78292448438168e-11,ABCF1/ACTR3/ADAM10/ADAM17/APBB1IP/ARID1B/ASS1/ATG12/C5AR2/CD47/CD99/CELF1/CPM/CSNK1A1/EIF4G3/ERBIN/GBP2/GPSM3/IFNAR1/ITGB5/LAT2/LGALS9/LITAF/LYRM4/NCKAP1L/NECTIN2/NMI/NORAD/NUB1/OAS2/PDLIM7/PLCG2/PNP/PRKAR2A/PTGER4/PTPN12/RAB1A/RASSF5/RBM23/SELENOW/SPN/STIP1/STK10/STMP1/TNIP1/TNS3/TRIB1/XBP1/YWHAG/ZYX,6/12/13
IFNAR1_vs_MYD88,3.75467358125811e-10,ABCF1/ARID1B/ATG12/C5AR1/C5AR2/CD276/CD47/CD83/CDK6/CHMP5/EBI3/EIF4G3/EPSTI1/FYB1/GBP1/GBP2/GPNMB/HMGB3/HSPH1/IFNAR1/IKZF1/IRAK2/IRF2BP2/LAT2/LGALS9/LITAF/MAP3K8/NCKAP1L/NECTIN2/NMI/NUB1/OAS1/OAS2/PAIP1/PHACTR4/PLCG2/PLD4/PLSCR1/PNP/PRDX1/PTGER4/PTPRC/RAC2/RASSF5/RBM23/REL/SELENOW/SH3BGRL/SKAP2/SMARCA5/STIP1/STMP1/SWAP70/TNFRSF9/TNIP1/TRIB1/TRIM38/XBP1,6/12/13/20
TXNDC17_vs_MYD88,0.647662129330772,ADAM10/BAZ1A/CPM/GPSM3/LYRM4/STK10,6
FLI1_vs_MYD88,0.00169136510427387,ADAM10/CPM/GPSM3/LYRM4/PTP4A1/STK10,""
MAPK14_vs_MYD88,3.79515227723287e-08,ABCF1/ABL2/ACTR3/ADAM17/APBB1IP/ARID1B/ATG12/CD47/CD83/CD99/CNN2/EIF4G3/ERBIN/HSPH1/IFNAR1/IKZF1/IRF2BP2/ITGAV/ITGB5/LITAF/NCKAP1L/NECTIN2/NMI/NORAD/PAIP1/PDLIM7/PNP/PPP1CB/PRKAR2A/PTPN12/RASSF5/RBM23/STIP1/STMP1/TNS3/TPRA1/XBP1/YWHAG/ZYX,6/12/13
KIDINS220_vs_MYD88,4.69307255546075e-10,ABCF1/ABL2/ACTR3/ADAM17/APBB1IP/ARID1B/ATG12/C5AR2/CD47/CD83/CD99/CNN2/CNPY3/EIF4G3/ERBIN/HSPH1/IFNAR1/IKZF1/IRF2BP2/ITGAV/ITGB2/ITGB5/NCKAP1L/NECTIN2/NMI/NORAD/NUB1/PAIP1/PDLIM7/PLCG2/PNP/PPP1CB/PRKAR2A/PTPN12/RAB1A/RAC2/RASSF5/RBM23/RIF1/SELENOW/SH3BGRL/SKAP2/STIP1/STMP1/TNIP1/TNS3/TPRA1/XBP1/YWHAG/ZYX,6/12/13
MAP2K1_vs_MYD88,0.1723613377818,"",""
YEATS4_vs_MYD88,7.14033989782501e-08,ABCF1/ACTR3/ANXA1/APBB1IP/ARID1B/ATG12/CD99/EIF4G3/ERBIN/HSPH1/IFNAR1/IKZF1/IRF2BP2/ITGAV/ITGB5/MRPL15/NCKAP1L/NECTIN2/NMI/NUB1/OTULIN/PAIP1/PDLIM7/PLCG2/PNP/PPP1CB/PRKAR2A/PTPN12/RASSF5/RBM23/SELENOW/SKAP2/SMARCA5/STIP1/STMP1/TNIP1/TNS3/TPRA1/XBP1/YWHAG/ZYX,6/12/13
ATXN7L3_vs_MYD88,9.62981123578838e-10,ABCF1/ABL2/ADAM17/APBB1IP/ARID1B/ATG12/C5AR2/CD47/CD83/CD99/CNPY3/EIF4G3/EPSTI1/ERBIN/FYB1/GBP1/GBP2/GPNMB/HSPH1/IFNAR1/IKZF1/IRAK2/ITGB5/JAK1/LAT2/LITAF/MRPL15/NCKAP1L/NECTIN2/NMI/NORAD/NUB1/OAS2/PAIP1/PLCG2/PLSCR1/PNP/PPP1CB/PRKAR2A/PTPN12/RAC2/RASSF5/RBM23/SAMHD1/SELENOW/SMARCA5/STIP1/STMP1/SWAP70/TNIP1/TNS3/TRIB1/TRIM56/XBP1/ZMPSTE24/ZYX,6/12/13/20
