comparison,p_value,active_genes
IKBKG_vs_MYD88,2.02495007805012e-05,TNS3/ZYX
TAB1_vs_MYD88,0.00309963969266502,PTGER4/USP18
IFNAR1_vs_MYD88,0.656157755389232,NECTIN2
TXNDC17_vs_MYD88,0.953667126034587,""
FLI1_vs_MYD88,0.826471533749163,""
MAPK14_vs_MYD88,0.143584857281635,MAP3K8/ZYX
KIDINS220_vs_MYD88,0.280031613698313,ZMPSTE24/ZYX
MAP2K1_vs_MYD88,0.361642105200126,""
YEATS4_vs_MYD88,0.000190328946125324,MAP3K8
ATXN7L3_vs_MYD88,0.000925195554785103,ABCF1/LGALS9/PUM1/STMP1
AHR_vs_MYD88,0.00334381611654957,ABCF1/IFIT1
PRDM1_vs_MYD88,0.00356108372495361,ARID1B/PTPN12
TNFAIP3_vs_MYD88,0.550395262983485,""
JUNB_vs_MYD88,0.0255954714963906,ZMPSTE24
TIRAP_vs_MYD88,1.39706848056402e-09,APBB1IP/EIF4G3/IFIT1/LGALS9
TRIB1_vs_MYD88,1.61476573811169e-08,IKZF1/NECTIN2/TNIP1/TRIM38/ZYX
PICALM_vs_MYD88,0.0943819846039773,""
EHMT2_vs_MYD88,0.00169545159571246,CPM
STAT1_vs_MYD88,0.0018904659382641,ARID1B/STAT1
RELA_vs_MYD88,1.37606543393741e-06,EIF4G3/TNIP1/TNS3
TLR1_vs_MYD88,0.0298177130594368,STMP1
CEBPG_vs_MYD88,0.53555997688828,""
IRAK1_vs_MYD88,5.74398883693737e-14,IKZF1/LGALS9/MAP3K8/NECTIN2/PDLIM7/TNIP1/TNS3/XBP1/ZYX
MAP2K2_vs_MYD88,0.50645323130463,""
DNTTIP1_vs_MYD88,0.0080799207891561,ACTR3/CD47/ERBIN/GPSM3/IRF2BP2/LGALS9/NECTIN2/NMI/PNP/PRDX1/SELENOW
HSP90B1_vs_MYD88,3.2140389447389e-11,APBB1IP/CD47/CD83/CPM/NECTIN2/TNIP1/ZMPSTE24/ZYX
IRAK4_vs_MYD88,4.58512412225078e-14,ABCF1/APBB1IP/IKZF1/REL/TNIP1/TNS3
TRAF6_vs_MYD88,4.2318260781888e-19,APBB1IP/CD83/CEBPB/IFIT1/LGALS9/NUB1/PDLIM7/TNIP1/ZYX
IKBKB_vs_MYD88,0.00023523899405841,CPM/EBI3/MAP3K8
RNF31_vs_MYD88,0.241482532414387,PRKAR2A/PTPRC
MEF2C_vs_MYD88,2.89958482291984e-06,IKZF1/LGALS9/ZYX
SBDS_vs_MYD88,0.0665603035895668,IRF2BP2/NECTIN2
CSNK1A1_vs_MYD88,0.114725175886727,EIF4G3/PTPN1
ARPC4_vs_MYD88,0.249898985521467,""
PPP2R1A_vs_MYD88,0.0176709171152828,TNS3
MIDN_vs_MYD88,0.158928337978981,CD47/STMP1/TRIM56
XPR1_vs_MYD88,2.87225029136223e-05,NUB1/PNP
TYK2_vs_MYD88,0.244635406014002,PAIP1/STAT1/STMP1
CYLD_vs_MYD88,0.779850403040011,""
ADO_vs_MYD88,0.188226056136752,EIF4G3
PGM3_vs_MYD88,0.0505042922799937,STMP1/ZYX
MAPK1_vs_MYD88,1.1323707441936e-07,CD47/OGFRL1/TNIP1
TLR2_vs_MYD88,1.23469805821484e-15,APBB1IP/IKZF1/IRAK2/MAP3K8/PML/REL/TRIM38/ZYX
STK11_vs_MYD88,0.258812260354931,""
SEPHS2_vs_MYD88,0.111908402618769,ATG12/EBI3/SELENOW/STMP1/TRIM38
STAT2_vs_MYD88,0.162606795320685,CD47/PARP9
MAP3K7_vs_MYD88,0.0158734147852957,ADAM10
RAB5C_vs_MYD88,0.124405116846135,NECTIN2/TRIM56
ALG2_vs_MYD88,0.000138720818001992,ITGB5
MYD88_vs_IKBKG,1.25276766239157e-05,CD83/ITGB5/TNIP1/TNS3/ZYX
TAB1_vs_IKBKG,0.0380544065892267,PTGER4/USP18
IFNAR1_vs_IKBKG,0.488783257464667,PNP
TXNDC17_vs_IKBKG,0.961132121404083,""
FLI1_vs_IKBKG,0.820874121670741,""
MAPK14_vs_IKBKG,0.0029106461662426,FYB1/RBCK1/ZYX
